text,hypothesis,majority_label
ball,head,independent
liberal,social,other-related
europe,the eu,entailment
water,wet,equivalence
citizen,language,independent
organization,year,independent
cat,the boy,independent
australia,olympic,independent
bush,threat,independent
effect,works,independent
case of,concern a,independent
natural,oil,other-related
a weapon,a sword,entailment
job in,job create,entailment
little boy,man is,alternation
president,former president,entailment
the elderly,elderly person,entailment
time,earlier,entailment
lose,reach,independent
office,political,other-related
is,union,independent
round,sit,independent
have the,hold a,equivalence
"york ,",new york .,entailment
car,lot,independent
far,more,independent
component,soldier,independent
intelligence,world,independent
environment,secretary,independent
to take,will go,independent
food,milk,entailment
islamic resistance,the hamas,other-related
broadcast,bbc,entailment
a bunch of,a group of,equivalence
humanitarian,worker,other-related
host,olympic,other-related
group,trade,independent
dune,sand,other-related
partner,terrorism,independent
citizen .,country .,other-related
chair,sit,other-related
worker,construction worker,entailment
conversation,talk,equivalence
dietary,intake,entailment
accuse,conviction,independent
speak,talk,equivalence
look,roll,independent
day of,the start of,other-related
palestinian,suicide,independent
actor,director,alternation
the fifteen,15 member,entailment
apply,are,independent
acknowledge,have,independent
run,was,independent
say,show,independent
continue,were,independent
stand,stare,independent
national,organisation,independent
adult,big,other-related
fire,range,other-related
contain,package,other-related
park,walk,other-related
army,the idf,entailment
groom,wedding,other-related
be in,contain,entailment
force,the government,other-related
approve,join,independent
minister of,prime minister,entailment
relief,supply,other-related
"""",say the,independent
force,general,entailment
clean,erase,entailment
away,least,independent
a little kid,boy,entailment
were injured,seriously injure,entailment
an interview,the interviewer,entailment
animal,person,entailment
autumn,fall,equivalence
could n't,unlikely to,other-related
attack,suicide bomber,entailment
a male,a man,entailment
blame,suspect,other-related
is in,is now,independent
dirty,dog,independent
israeli,source,independent
gear,mat,independent
gun,john,independent
man,paper,independent
administration,bush,other-related
climber,climbing,other-related
asia,australia,independent
produce,was,independent
the u.s.,u.s. force,other-related
class,classroom,other-related
citizen,woman,entailment
break,jam,independent
the political,political leaders,entailment
gold,young,independent
report,trade,independent
tap,water,other-related
have,iran,independent
"come back ,",to return,equivalence
division,plant,independent
egyptian,palestinian,alternation
multimedia,rich,independent
group of,large group of,entailment
represent,representation,equivalence
the chance to,the opportunity to,equivalence
championship,top,other-related
were injured,were wounded,equivalence
leader,victory,other-related
own,relate,independent
", say",announce that,entailment
july,march,alternation
is watching,watch,equivalence
carolina,university,independent
code,party,independent
country,free,entailment
fraction,way,independent
complaint,inquiry,other-related
amro,bank,independent
establish,result,independent
structure,classroom,entailment
key,home,entailment
effects,not,independent
light,sit,independent
curb,sidewalk,alternation
years,ten years,entailment
black and white,black,entailment
be,finally,independent
man,military,independent
people,guy,entailment
minister,rashid,independent
", was",say the,independent
drive,wheel,other-related
as possible,to be,independent
expect,to come,independent
lead,order,other-related
israel,sunday,independent
up,years,independent
enter into,is made,independent
a lot of,lot of people,entailment
's department,department,equivalence
help,make,independent
toy,ball,entailment
jordan,saudi arabia,other-related
illness,medical,other-related
-rrb- is,seem to,independent
coat,jacket,entailment
man with,"young ,",other-related
long,most,independent
the boy,a young boy,entailment
international aid,international humanitarian,other-related
view,woman,independent
say,today,independent
it was,"say ,",independent
front,street,other-related
the beach,the sea,other-related
governing,member,independent
commission,independent,other-related
january,late,independent
kill,the death toll,other-related
early sunday,morning,entailment
early,system,independent
environment,policy,other-related
representative,spokeswoman,entailment
poorly,very poorly,entailment
agency,the cia,entailment
crash,landing,independent
slow,take,independent
colombia,farc,independent
have,represents,independent
frog,toad,alternation
to give,to meet,independent
performance,potential,independent
health,response,independent
are not,come,independent
alert,security,entailment
play,play game,entailment
country,trade,other-related
foreign,minister,other-related
u.s.,trade,entailment
attempt,try,equivalence
bomb,bomb explosion,other-related
people were,were killed,independent
browser,web,other-related
life,people,independent
set,system,independent
basic,use,independent
good,investment,other-related
bank,the world bank,entailment
arsenal,weapon,entailment
lady,woman,equivalence
the waters,territorial waters,entailment
are far,are in,independent
cyprus,turkish-cypriot,entailment
a lady,a man,alternation
woman,woman 's participation,entailment
commission,second,independent
earth,past,independent
service,u.s.,independent
snowboard,snowboarding,other-related
play in,run in,other-related
people in,man in,entailment
a long,is a,independent
make,relieve,independent
assistant,management,other-related
little,the boy,independent
that water,the surface,other-related
arrive,was,independent
approach,end,independent
protect,protection,other-related
use,weapon,independent
say to,take place,independent
abbas,palestinian,independent
again,good,independent
the us-led,war on,independent
political,several,independent
party was,political party,entailment
have been,to achieve,independent
are running,is leading,other-related
member,term,independent
us-led,war,independent
monetary,world,independent
environment programme,nation environment programme,entailment
company 's,from the company,equivalence
affect,significant,independent
trade,bilateral trade,entailment
council of europe,the european council,equivalence
", say the",announce that,entailment
water,the pool,entailment
design,space,independent
name,was,independent
the child,a boy,entailment
find,will be,independent
fall,rise,alternation
get,wear,independent
kick,make,independent
company,measure,independent
be,object,independent
london,washington,independent
of death,capital punishment,entailment
monday,official,independent
green,out,independent
damage,property,independent
the introduction of,was introduced,equivalence
government as,"new government ,",entailment
the shore,the water,other-related
document,team,independent
constitution,government,other-related
friend,lot,independent
sunday,sunday morning,entailment
little,little boy,entailment
highway,line,independent
cut,rise,independent
public,statute,other-related
review,analyze,entailment
book,novel,entailment
legal,publish,other-related
agree,was,independent
president,presidential,other-related
boy,each other,independent
been,produce,independent
life,property,independent
economy,health,independent
it mouth,their mouth,entailment
a guy,boy,entailment
attempt,bid,independent
country,parliament,independent
nobody,someone,alternation
take place in,which were,independent
oil,production,other-related
people,public,other-related
article,have,independent
report,tuesday,independent
"""",oil,independent
floor,tan,independent
is performing,is running,independent
over the,place on,independent
head,prime minister,entailment
olympic,olympic game,entailment
weapon,a gun,entailment
", single",european single,entailment
art,museum,other-related
of japanese,tokyo,entailment
dead at,were killed,equivalence
a man 's,a man is,equivalence
a member,member,equivalence
director of,executive of,equivalence
it was,say,independent
computer,line,independent
two people,two man,entailment
colombia,bogota,entailment
kofi annan,kofi annan 's,equivalence
have,public,independent
civil,commission,other-related
award,winner,other-related
city,council,other-related
peaceful,white,independent
job in,new job,other-related
control,territorial,independent
set,stand,independent
's military,it military,equivalence
fire,missile,other-related
eu,representative,independent
institution,language,independent
a paper,a piece,other-related
president 's,president bush,entailment
agency,chairman,independent
colombian,columbia,other-related
business,part,independent
third,union,independent
get,sam,independent
warning system,early-warning system,entailment
cows,cow,entailment
hold,imprisonment,equivalence
important,very,independent
david,health,independent
indian,singh,independent
such,the world,independent
office,works,independent
taking,was,independent
afghanistan .,iraq .,other-related
offset,rise,independent
full,man,independent
a plane,jet,entailment
container,box,entailment
exist,have,independent
level,site,independent
earth,surface,other-related
child,little,other-related
people,study,independent
a gray,a grey,equivalence
now,thomas,independent
build,set,independent
close,order,independent
", however ,","say ,",independent
next to,on top of,other-related
play,to play,equivalence
cause,stimulate,entailment
access,school,independent
a big,of very,independent
people,population,entailment
government,provide,other-related
note,person,independent
north,state,independent
hold,say,independent
prime,the former,independent
health,investment,independent
lose,were killed,entailment
policy,social,independent
come back,return,equivalence
flee,have been,independent
plane,a jet,entailment
high,shirt,independent
bomb attack,a bomb,entailment
committee,olympic,independent
agency,human,independent
are being,are being held,entailment
hold in,take place in,equivalence
is,sell,independent
head,john,independent
international,socialist,independent
develop,seek,independent
person,side,independent
the trade,trade sector,entailment
rate,unemployment rate,entailment
is preparing,prepare,equivalence
band,concert,other-related
gather,group,other-related
american,washington,other-related
part of,point in,alternation
a big,the big,equivalence
board,fed,independent
is,nothing,independent
amount,spending,other-related
the officer,police,entailment
to get,to give,alternation
the young,child,entailment
is,start,independent
the container,a box,entailment
a young girl,a young man,alternation
was killed,who was,independent
pan,skillet,equivalence
organisation,congress,entailment
times,week,independent
civil,member,independent
measure,member,independent
kazakhstan,russia,alternation
being made by,is making,equivalence
australian,howard,independent
the world,globalization,entailment
first,later,independent
notice,was,independent
industry,communications,entailment
being,nobody,alternation
civilian,police,alternation
run,stop,alternation
child,daughter,entailment
iraq,time,independent
look,study,entailment
water,waters,equivalence
world,france,entailment
a week,days,entailment
europe,the european union,entailment
hospital,official,independent
establish,go,independent
peace prize,nobel peace,entailment
be,steps,independent
role,year,independent
white,woman,independent
mile,range,other-related
carry out,introduction,independent
beginning,february,independent
building,propose,independent
been,tell,independent
community,country,entailment
case,department,independent
order to,to push,alternation
bank is,world bank,entailment
line,river,independent
federal,use,independent
iraqi,kurdish,independent
government,option,independent
emu,monetary union,independent
campaign,election campaign,entailment
to nuclear,of nuclear weapon,entailment
president bush,president bush 's,equivalence
being,surround,independent
back the,support for,equivalence
greenhouse,pollution,independent
beginning,to go,independent
member,standard,independent
case,trial,other-related
adopt,union,independent
ocean,science,independent
the world,times,independent
has been a,war,independent
organization,nato,entailment
support,victory,other-related
are used,is a,independent
city,hong,independent
", come",was,independent
unite,unity,other-related
participation in,take part in,equivalence
surfboard,wall,independent
another is,one is,equivalence
growth,higher,other-related
boy,high,independent
employee,involve,independent
come back,is,independent
form a new,forming a new,other-related
field,lot,alternation
mistress,wife,alternation
china,develop,independent
new,time,independent
rate,the growth,entailment
accord to,to be,independent
the first,the first day,entailment
conflict,many,independent
particularly,specifically,equivalence
financial,new,independent
man,today,independent
circle,table,independent
car,car bomb,other-related
away from the,out of the,alternation
be a,know as,independent
sky,star,other-related
boy,the man,alternation
photo,still,equivalence
a member of,to join,other-related
", thousand of",thousand of people,entailment
drive,rider,independent
assume that,say it,independent
's not,is,independent
north,north korea,entailment
name,widow,independent
food,hunger,other-related
", include",", which was",independent
document,order,other-related
is serving,is employed,entailment
government,report,other-related
fish,sea,other-related
forming a,to form a,equivalence
as many,the world 's,independent
department,fire,other-related
a family,happy family,entailment
"come back ,",to return to,equivalence
general,parliament,independent
civil,friday,independent
and black,black man,other-related
upside,upside down,other-related
election,president,other-related
over the past,the last,independent
possible,up,independent
live in,people live in,entailment
not safe,"unsafe ,",equivalence
", injure",people were injured,entailment
place,road,independent
kill,massacre,entailment
background,universe,independent
country,following,independent
committee,the committee 's,entailment
corporation,source,independent
safety,services,independent
preserve,is preserved,entailment
count,endorse,independent
hold,is being,independent
focus,pilot,independent
gulf,war,other-related
coalition,new,independent
"the girl ,",young girl,entailment
boy,mug,independent
"state ,",member state,entailment
car,patrol,alternation
angela,chancellor,independent
box,food,independent
the east coast,the west,alternation
couple,the marriage,other-related
a group,cluster of,equivalence
will make,would release,independent
cooperate,work with,equivalence
law,law school,entailment
business,talk,independent
assistant,member,independent
adult,man,entailment
dynasty,empire,equivalence
the sidewalk,the street,other-related
attack against,terrorist attack,entailment
authority,vote,independent
jacket,news,independent
world,african,entailment
build,link,independent
sit,stand,alternation
kid and,boy and,entailment
it is,women are,independent
percent,4 percent,entailment
football,player,other-related
an increase,is,independent
add,services,independent
average,power,independent
participation in,represent in,equivalence
championship,cup,other-related
baseball,hit,other-related
government have,government take,other-related
environment,water,other-related
peace,president,other-related
indigenous,traditional,other-related
something,a note,entailment
europe,parliamentary,other-related
bowls,bowl,entailment
introduction,show,independent
die,look,independent
cover,were,independent
are,people,independent
receive,serve,alternation
european,italy,entailment
iraq 's,baghdad,entailment
competition,power,independent
kill in,take place,independent
show a,with very,independent
rise,surge,equivalence
canada,the border,other-related
a baby,another baby,entailment
bank,palestinian,other-related
effective,virtual,independent
top of,roof of,entailment
break,was,independent
mark,was,independent
one is,person is,entailment
a picture,photo,equivalence
corps,the military,entailment
family,person,alternation
southeast asian,southeast asian nation,entailment
first,open,independent
other,single,independent
come out,out of,other-related
someone is,the person is,equivalence
occupy,was,independent
green,red,alternation
organize,take,independent
party,political party,entailment
people,two people,entailment
play,gym,entailment
system .,computer .,entailment
the woods,wood,entailment
offering,role,independent
is,operate,independent
agree,russian,independent
been,own,independent
carry out,"out ,",independent
iraq,kurdish,entailment
committee,worker,independent
south india,southern india,equivalence
compute,internet,other-related
spain,madrid,entailment
republic,state,entailment
out,strongly,independent
get,use,independent
have,talks,independent
the top of,the roof of,entailment
battle,gunbattle,entailment
clerk,commission,independent
downstream,follow,independent
expect,is,independent
currently,france,independent
industry,market,other-related
council,date,independent
raise,up,other-related
run,run away,entailment
lead,the leader,entailment
people,boy,entailment
the council of,the eu,entailment
heavy,warm,independent
the child,baby,entailment
piece,a slice,entailment
iraqi capital,baghdad .,entailment
equipment,equipment use,entailment
cross,road,other-related
employee,work,other-related
a woman,the girl,alternation
aid,help,equivalence
swinging,swing,entailment
china,the people,alternation
treatment,drug,entailment
face of,in front,independent
new,reform,independent
kill by,murder of,equivalence
tree,trunk,entailment
cdu,christian,independent
white,yellow,alternation
terror,war,other-related
parliament,population,independent
gaza,israeli,other-related
made,recognize,independent
capital,operation,independent
black,a black man,entailment
iraq,city,entailment
go,hit,independent
more,so far,independent
gas,crude,entailment
something,a body,entailment
accord,service,independent
germany,rates,independent
us president,president bush,entailment
baby,dog,independent
attack,carry,independent
the interim,interim constitution,entailment
persons were,persons were injured,entailment
"""",training,independent
gaza,israel,independent
category,second,independent
abbas,arafat,independent
"back ,",return,other-related
tsunami,the tsunami disaster,entailment
threat to,threaten the,other-related
people were,people were killed,entailment
buying,spending,equivalence
council,natural,independent
is a,"yes ,",independent
statement,take,other-related
are,cost,independent
part,phase,other-related
history,significant,independent
division,was,independent
pollution,prevention,independent
person,tail,independent
ball,ground,independent
are,public,independent
price,rise price,entailment
bloke,guy,equivalence
person is,man is,entailment
motorbike,motorcyclist,other-related
", particularly",", specifically",equivalence
bathing,suit,other-related
pollution,environmental protection,entailment
stick,pole,entailment
shot,was,independent
people,explorer,entailment
a man,a black,entailment
step,wander,alternation
european,nato,independent
many,other,independent
house,new,independent
house,low,independent
begun,receive,independent
security council .,un security council,entailment
state,status,independent
place in,place at,entailment
earthquake,magnitude,other-related
evidence,study,other-related
ski,snow,other-related
gain,growth,equivalence
history,order,independent
committee,next,independent
person in,man in,entailment
job,job create,entailment
city,civic,other-related
bomb,a car bomb,entailment
drug,side,independent
announce,friday,independent
measure,way,independent
"a woman ,","man ,",alternation
life,person,other-related
people,boys,entailment
lock,out,independent
game .,the olympic,entailment
month,july,entailment
israel,member,independent
fast,run,other-related
effective,numbers,independent
must not,to keep,independent
police,iraqi police,entailment
army,soldier,entailment
a female,woman with,entailment
%,paper,independent
approve by,ratify the,equivalence
european,sport,independent
is being,make a,independent
act,strike,entailment
emission,measure,independent
a boy,a girl,alternation
play,ride,independent
the container,the box,entailment
george,new,independent
people,very,independent
the un,unite,independent
minister .,secretary of,independent
a piece,a stick,independent
home,need,independent
israeli,jewish,entailment
death are,dead man,entailment
council .,security council,entailment
was,was opened,independent
pandemic,virus,entailment
money,record,independent
fly,man,independent
of america,of the unite,independent
intelligence,mossad,entailment
kill and,were wounded,other-related
a kid,boy,entailment
regional,work,independent
fail,was,independent
measure,being measured,entailment
find,take,independent
authority,representative,other-related
were,have take place,entailment
on the ground,on the floor,entailment
general,request,independent
maritime,more,independent
university of,department of,entailment
the plane,jet,entailment
the far,far east,entailment
make,make by,entailment
experience,regular,independent
a person is,someone is,equivalence
campaign is,electoral campaign,entailment
force,military,other-related
to return,to visit,independent
military,personnel,other-related
coast,the east coast,entailment
people,rates,independent
richard,state,independent
bid,elect,independent
a girl,the woman,alternation
mother,week,independent
pink,white,alternation
run,state,independent
hold,wearing,independent
find,locate,equivalence
health,long,independent
face,mask,other-related
participation in the,take part,equivalence
environment,ecological environment,entailment
group of people,person,entailment
in colombia,the colombian,entailment
case,health,independent
is n't,talk,independent
may not,stop,independent
britain,young,independent
mr.,jacques,entailment
battle,service,independent
soil,way,independent
a man,nothing,independent
"large ,",very large,entailment
trade,international trade,entailment
a request from,ask the,equivalence
exist,national,independent
loss of,threat to,other-related
child,live,independent
area,black,independent
that are,that help,independent
canada,fuel,independent
corporate,general,independent
two woman,woman,entailment
computer,computer program,other-related
man,sauce,independent
bit,good,independent
soccer,the man,independent
cosmic,universe,other-related
's,has been,independent
sanction,steps,independent
hong,taiwan,independent
small,the little,equivalence
girl,playing,independent
least,young,other-related
an avalanche,avalanche,equivalence
of people,person in,entailment
the total,'s population,entailment
head of the,president of the,equivalence
vehicle,horse,entailment
a boy,no man,alternation
disease,rates,independent
was,was taken,independent
aid,to help,equivalence
is an,show the,independent
form,rates,independent
european,marketplace,independent
playing,soccer,other-related
european,office,independent
serious,small,independent
more,the government,independent
document,time,independent
a historian,historian,equivalence
ocean,wide,other-related
force,social,independent
's presidential election,presidential election,equivalence
mosaic,web,independent
a terrorist,to terrorism,entailment
cfsp,eu,independent
government,state,other-related
back,person,independent
canada,member,independent
's population,population growth,other-related
citizen,state,other-related
have,party,independent
country,unite,independent
concern,north,independent
improving,increase,other-related
each other,prisoner,independent
colombia,land,other-related
iran 's,tehran,other-related
back,small,independent
health,risk,independent
revenue,the cost,other-related
rate,growth rate,entailment
's name,name .,equivalence
not,playing,independent
de,year,independent
japan .,region .,alternation
office,spokesman,independent
percent,survey,other-related
carry,find,independent
government,private sector,other-related
an adult,a man,entailment
fly,the air,other-related
department,employ,independent
pollution,standard,independent
engine,pilot,other-related
"dollar ,",yuan .,other-related
play by,play the,other-related
a year,a year ago,entailment
israel,israeli prime minister,other-related
begin,was,independent
large,things,independent
a doll,a woman,independent
request,the case,independent
employ,treat,independent
hold,take place,independent
relevant,use,independent
world championship,world cup,entailment
government have adopt,government take,alternation
%,equipment,independent
have been,yesterday,independent
chance to,the opportunity,entailment
district,include,independent
uk,university,other-related
western european union,weu,equivalence
blanket,umbrella,alternation
boat 's,boat is,equivalence
large,world,other-related
red,yellow,alternation
the capital,the main,other-related
document,new,independent
indian,pakistani,other-related
air,u.s.,independent
", a woman","a man ,",alternation
the government,the central government,entailment
day,one,independent
north and south,north korea,other-related
national,secretary,independent
surf,wave,entailment
agenda,mr.,independent
currency in,euro currency,entailment
u.s. military,unite state,independent
korean,north korea,entailment
wound,were killed,entailment
iraq,the war,other-related
kid,a little boy,entailment
bankruptcy,protection,independent
east,northern,independent
years,20 years,entailment
president,president bush,entailment
back,horse,independent
people lose,were lost,independent
a lot,people,independent
edge,sea,independent
factor,paper,independent
come,start,independent
military,more,independent
hand,man,other-related
the death penalty,the imposition,independent
home,report,independent
act,community,independent
mandela,south african,entailment
say the,announce that,entailment
policy,take,independent
place,the world,other-related
the introduction,the result,alternation
plan to,set,independent
division,member,independent
explosion,police,independent
have,legal,independent
commission,vote,independent
people,water,independent
danger,life,independent
mean,was,independent
built,move,independent
cross,walk,other-related
the government,central government,entailment
closing,make,independent
inquiry,works,independent
death,rubble,independent
falls,use,independent
group,european,entailment
was established,foundation for,entailment
child is,"boy ,",entailment
action,measure,independent
ride,vehicle,other-related
a baby,the small,alternation
an aircraft,a plane,entailment
election,prime,independent
the last,the past,independent
penalty .,death penalty .,entailment
still,up to,independent
girl 's,young girl,entailment
is a former,was,equivalence
enter,transactions,other-related
nuclear,security,other-related
rates,values,entailment
authority,palestinian,other-related
allow to,to allow,equivalence
material,measure,independent
commission,"european commission ,",entailment
classroom,student,other-related
republic,world,independent
listen to,talk to,alternation
're,seem,independent
iran .,of iran 's,entailment
field,horse,independent
agree,involve,independent
chief,mr.,entailment
are located,are taken,independent
sit,bench,entailment
bankrupt,court,other-related
secretary,straw,independent
affect the,is on the,independent
czech,the czech republic,equivalence
are sitting,sit down,equivalence
%,software,independent
commission,prodi,independent
is,less,independent
being,far,independent
no man,person,alternation
area,trade,independent
considerable,place,independent
is under,under way in,independent
table,track,independent
monetary union,european monetary union,entailment
is a,is even,independent
ground,playing,independent
point,axis,entailment
designate,state,independent
happy,sad,alternation
breast,woman,other-related
field,power,independent
language,official,other-related
close,reduce,independent
the insurgent,the rebel,entailment
other,u.s.,independent
organisation,state,entailment
a child,baby is,entailment
panel,work,independent
company,court,independent
secretary,state,other-related
develop,process,other-related
convention,council,independent
expect to,up to,independent
dollar,the company,independent
dog,little girl,independent
schroeder,chancellor gerhard schroeder,entailment
crowd,person,other-related
agency,nuclear,independent
arrive,lost,independent
man,river,independent
have receive,was,independent
home,return,other-related
oil and gas,petroleum,equivalence
even if,was,independent
first,name,independent
in front of,next to,other-related
beginning,institute,independent
"day ,",'s day,entailment
find a,identify a,equivalence
take,title,independent
bush,bush 's,entailment
other people,man,entailment
mean,measure to,independent
fill in,to replace,equivalence
be based,is located,equivalence
two young,young man,entailment
statue,statute,independent
's capital,capital of,equivalence
east,palestinian,independent
have,positive,independent
german,schroeder,entailment
family,mother,entailment
basket,game,other-related
the u.s. military,soldier,entailment
earnings,income,equivalence
review the,to consider,equivalence
announce,perform,independent
bomber,suicide,other-related
global,people,independent
jump,looking,independent
big,huge,equivalence
national,brazilian,entailment
guidance,send,independent
child,young child,entailment
light,look,independent
"however ,",other than,independent
numerous,serious,independent
is very,play a,independent
old,the man,alternation
full,lot,other-related
game,hand,independent
hold,number,independent
part,party,independent
is being,is holding,independent
army,camp,independent
civilian,have,independent
depend,stemming,independent
the former prime,former prime minister,entailment
"pact ,",atlantic treaty,entailment
world .,earth ;,entailment
military,recent,independent
background,fully,independent
measure,requirement,entailment
drug,possession,other-related
beach,the water,other-related
department,have,independent
comprises,is,equivalence
argentina,argentina 's,equivalence
are doing,is playing,independent
literary,man,independent
end,state,independent
city,game,independent
atlantic,company,independent
is the,the follow,other-related
bomb,death,other-related
history,'s history,entailment
bunch,wood,independent
action,file,independent
the social,'s social,entailment
render,return,independent
small,young,other-related
european,the european union,entailment
a gaza,gaza strip,entailment
operate,use,equivalence
old,service,independent
child,"boy ,",entailment
center,capital,entailment
return,return home,entailment
the control of,to combat,other-related
interest,make,independent
council,election,other-related
industry,firm,entailment
popular,use,independent
water,clean water,entailment
fully,only,independent
official,policeman,entailment
commission,january,independent
trouble,problem,entailment
is doing,perform by,other-related
say,say thursday,entailment
atlantic,marine,other-related
hand,receive,alternation
lunar,month,independent
geneva,paris,alternation
the result,then,independent
display,have,independent
fun,swing,other-related
commission,course,independent
due to,to return to,independent
shirt,top,independent
court,have,independent
equal,very,independent
the eu,state,entailment
man,store,independent
mother,the mother,equivalence
asian,economic,independent
international,member,independent
nuclear,threat,other-related
mind,service,independent
social,united,independent
difficulty,dog,other-related
look at,watch,equivalence
bird,flight,other-related
parts,towards,independent
boy,park,independent
like,person,independent
effect,hit,independent
city,mexico,other-related
china .,", china 's",entailment
was killed in,was shot,entailment
director of the,executive director,entailment
"boy ,",little boy,entailment
european,republic,independent
add,gain,equivalence
say,talk,equivalence
enough to,take to,independent
art,cultural,other-related
hit,stood,independent
"mandela ,",nelson mandela,entailment
have,target,independent
alive,lose,independent
the edge,the face,independent
commission,democracy,independent
been,charge,independent
bid,say,independent
business,production,other-related
european,third,independent
city,water,independent
order to,to be the,independent
baby,toy,other-related
organization,trade,other-related
minister in,prime minister,entailment
bicycle,trail,other-related
general,medium,independent
history .,of life .,independent
oil,crude oil,entailment
little,little girl,entailment
", is",gram of,independent
a group,bunch of,equivalence
early,part,independent
street,the street,equivalence
slide,top,independent
corporation,scheme,other-related
last,the past,independent
the country 's,ukraine 's,entailment
dead,follow,independent
india,kashmir,entailment
play,hockey,entailment
new zealand,spain,alternation
layer is,ozone layer,entailment
kick,punch,alternation
", are",", is n't",alternation
activity,trade,entailment
hard,paper,independent
u.n.,iraq,entailment
last,open,independent
lot,not,independent
conference,host,independent
company,income,other-related
someone,a man,entailment
area,grass,entailment
eligible,vote,independent
headquarters,leaders,independent
bulgaria,commission,independent
different,each other,independent
become,build,independent
first,near,independent
disaster,humanitarian,other-related
other,other child,entailment
put,pour,entailment
designate,mount,independent
the person,a man,entailment
arafat,israeli,alternation
economy,risk,independent
partnership,technology,independent
construction,need,independent
hands,his arms,other-related
election,the campaign,entailment
card,fun,independent
encourage,make,independent
the border,united state,other-related
recover,salvage,equivalence
india and pakistan,pakistan,entailment
football,play,other-related
hold,thursday,independent
development,world,other-related
now,years,alternation
beat,wear,independent
look,the air,independent
early,new,independent
president,representative,other-related
oppose,were,independent
industrial,new,independent
lady in,young lady,entailment
literary,book,entailment
a gold,a golden,equivalence
are,are suffering,entailment
beginning,second,alternation
argue,consider,other-related
such,use,independent
lift,pull,other-related
a young,"boy ,",entailment
google,valley,independent
have,red,independent
bosnia,force,independent
block,sledgehammer,independent
a change,new,other-related
the western,the western european,entailment
annan 's,kofi annan,entailment
rate,rates were,other-related
were killed,assassination of,entailment
container,sink,entailment
measure,works,independent
case of,this is,independent
", bush",president bush,entailment
building,camera,independent
arrangement,stand,independent
secretary,spanish,independent
bowl,break,independent
start of,the first,entailment
man,shop,independent
minister,organization,other-related
cast,provide,independent
hurt,were,independent
been,won,independent
house,parliament,other-related
patrol,soldier,other-related
military,army,entailment
new year,new year 's,equivalence
leaders,new,independent
dance,song,other-related
organization,take,independent
the ball,football,entailment
accord,monitoring,independent
the first,the original,equivalence
door,n't,independent
agency,include,independent
atmosphere,look,independent
agency,permission,independent
each other,kid,independent
man is,the man 's,equivalence
helicopter,military,other-related
competition,olympic,entailment
people,social,other-related
not,still,independent
was,whole,independent
group,security,independent
growth,world,independent
bike,wheel,alternation
two little,two small,equivalence
come,race,independent
common,widespread,equivalence
reagan,regan,independent
employ,use,independent
at once,from the start,independent
front of,side of,alternation
african,national,other-related
were injured,were seriously,other-related
jump,leap,equivalence
bring,wear,independent
target of,hit by,entailment
sand,sun,other-related
table,wire,independent
other,other people,entailment
collect,receive,equivalence
animal,the water,independent
environment,natural,other-related
the last,this year,independent
identify,include,independent
have been observed,there was,independent
terrorism,war,other-related
measure to,requirement for,other-related
boy,two boy,entailment
a seat,the ground,independent
pollution .,the environment .,other-related
the attack,the bomb,entailment
canadian,united,independent
have,place,independent
people,hostage,entailment
the computer,the laptop,entailment
cards,stick,independent
consists,is,independent
radio say,the radio,entailment
project,the construction,entailment
he was,say that the,independent
a sign,big,independent
ball,par,independent
indian,pacific,independent
is holding,is putting,alternation
israeli army,the idf,equivalence
cancer,cell,other-related
sentence,sentencing,equivalence
future,unite,independent
air,an area,independent
's presidential election,"presidential election ,",equivalence
home,living,independent
corporation,developer,other-related
flight,plan,other-related
minister,most,independent
activity,international,independent
of asian,from asia,entailment
black,gray,alternation
director,services,independent
viktor yanukovich,viktor yanukovych,equivalence
representative for,high representative,entailment
activity,issue,independent
iraq,baghdad,entailment
travel costs,trip,other-related
affect,focus,independent
one man,the man,equivalence
parts of,to area,independent
competition,compete,entailment
join,was,independent
expect to,to make,independent
done,ground,independent
fill,replace,other-related
earnings of,income of,equivalence
's social democrat,social democrat,equivalence
say,will be,independent
guy,land,independent
the indian,indian ocean,entailment
order,world,independent
direction,look,independent
europe,union,other-related
home,house,equivalence
a young,the little,other-related
a kid,a teenager,entailment
killing,was killed,other-related
american,dollar,other-related
declare,official,independent
order to,to meet,independent
young,young woman,entailment
member state,of country,other-related
election,september,other-related
counter,piece,independent
aircraft,pilot,other-related
art,history,other-related
important,power,entailment
away,parts,independent
iran,president,independent
a note,write,other-related
a result,benefit,other-related
", include","people ,",independent
lao,laos,equivalence
fish,ocean,other-related
beat,score,other-related
push,take,independent
cat 's,cat is,equivalence
representative,role,independent
southern city,city of basra,entailment
pass,record,independent
a middle,middle eastern,entailment
party,unite,independent
woman 's,woman is,equivalence
age,make,independent
in the ocean,in the water,entailment
watch,stare,entailment
front,map,independent
is running,to run,other-related
baby,little,independent
requirement,the environment,independent
a bicycle,riding,other-related
follow,give,independent
can,man,independent
year,"new year ,",entailment
speak,speaker,other-related
finish,last,equivalence
toy,doll,entailment
path,guide,entailment
brief,statement,other-related
america,the unite,other-related
do,measure,independent
the unite state,unite nation,other-related
construction,development,equivalence
"years ,",years ago,entailment
form,introduce,independent
course,game,independent
dalai,tibet,other-related
perform,wear,independent
few,horse,independent
appearance of,there was an,independent
death,loss of life,equivalence
pollution,source,independent
year in,last year in,entailment
"game ,",olympic game,entailment
discover,was,independent
india,pakistan,other-related
former,war,independent
