truth,hypothesis,majority_label
area,black,independent
that are,that help,independent
canada,fuel,independent
corporate,general,independent
two woman,woman,hypernym
computer,computer program,other-related
man,sauce,independent
bit,good,independent
soccer,the man,independent
cosmic,universe,other-related
's,has been,independent
sanction,steps,independent
hong,taiwan,independent
small,the little,synonym
girl,playing,independent
least,young,other-related
an avalanche,avalanche,synonym
of people,person in,hypernym
's population,the total,hyponym
head of the,president of the,synonym
horse,vehicle,hyponym
a boy,no man,antonym
disease,rates,independent
was,was taken,independent
aid,to help,synonym
is an,show the,independent
form,rates,independent
european,marketplace,independent
playing,soccer,other-related
european,office,independent
serious,small,independent
more,the government,independent
document,time,independent
a historian,historian,synonym
ocean,wide,other-related
force,social,independent
's presidential election,presidential election,synonym
mosaic,web,independent
a terrorist,to terrorism,hypernym
cfsp,eu,independent
government,state,other-related
back,person,independent
canada,member,independent
's population,population growth,other-related
citizen,state,other-related
have,party,independent
country,unite,independent
concern,north,independent
improving,increase,other-related
each other,prisoner,independent
colombia,land,other-related
iran 's,tehran,other-related
back,small,independent
health,risk,independent
revenue,the cost,other-related
growth rate,rate,hyponym
's name,name .,synonym
not,playing,independent
de,year,independent
japan .,region .,alternation
office,spokesman,independent
percent,survey,other-related
carry,find,independent
government,private sector,other-related
a man,an adult,hyponym
fly,the air,other-related
department,employ,independent
pollution,standard,independent
engine,pilot,other-related
"dollar ,",yuan .,other-related
play by,play the,other-related
a year,a year ago,hypernym
israel,israeli prime minister,other-related
begin,was,independent
large,things,independent
a doll,a woman,independent
request,the case,independent
employ,treat,independent
hold,take place,independent
relevant,use,independent
world championship,world cup,hypernym
government have adopt,government take,antonym
%,equipment,independent
have been,yesterday,independent
chance to,the opportunity,hypernym
district,include,independent
uk,university,other-related
western european union,weu,synonym
blanket,umbrella,alternation
boat 's,boat is,synonym
large,world,other-related
red,yellow,alternation
the capital,the main,other-related
document,new,independent
indian,pakistani,other-related
air,u.s.,independent
", a woman","a man ,",antonym
the central government,the government,hyponym
day,one,independent
north and south,north korea,other-related
national,secretary,independent
surf,wave,hypernym
agenda,mr.,independent
currency in,euro currency,hypernym
u.s. military,unite state,independent
korean,north korea,hypernym
were killed,wound,hyponym
iraq,the war,other-related
a little boy,kid,hyponym
bankruptcy,protection,independent
east,northern,independent
20 years,years,hyponym
president,president bush,hypernym
back,horse,independent
people lose,were lost,independent
a lot,people,independent
edge,sea,independent
factor,paper,independent
come,start,independent
military,more,independent
hand,man,other-related
the death penalty,the imposition,independent
home,report,independent
act,community,independent
mandela,south african,hypernym
announce that,say the,hyponym
policy,take,independent
place,the world,other-related
the introduction,the result,antonym
plan to,set,independent
division,member,independent
explosion,police,independent
have,legal,independent
commission,vote,independent
people,water,independent
danger,life,independent
mean,was,independent
built,move,independent
cross,walk,other-related
central government,the government,hyponym
closing,make,independent
inquiry,works,independent
death,rubble,independent
falls,use,independent
european,group,hyponym
foundation for,was established,hyponym
"boy ,",child is,hyponym
action,measure,independent
ride,vehicle,other-related
a baby,the small,alternation
a plane,an aircraft,hyponym
election,prime,independent
the last,the past,independent
death penalty .,penalty .,hyponym
still,up to,independent
girl 's,young girl,hypernym
is a former,was,synonym
enter,transactions,other-related
nuclear,security,other-related
rates,values,hypernym
authority,palestinian,other-related
allow to,to allow,synonym
material,measure,independent
commission,"european commission ,",hypernym
classroom,student,other-related
republic,world,independent
listen to,talk to,antonym
're,seem,independent
iran .,of iran 's,hypernym
field,horse,independent
agree,involve,independent
chief,mr.,hypernym
are located,are taken,independent
bench,sit,hyponym
bankrupt,court,other-related
secretary,straw,independent
affect the,is on the,independent
czech,the czech republic,synonym
are sitting,sit down,synonym
%,software,independent
commission,prodi,independent
is,less,independent
being,far,independent
no man,person,antonym
area,trade,independent
considerable,place,independent
is under,under way in,independent
table,track,independent
european monetary union,monetary union,hyponym
is a,is even,independent
ground,playing,independent
axis,point,hyponym
designate,state,independent
happy,sad,antonym
breast,woman,other-related
field,power,independent
language,official,other-related
close,reduce,independent
the insurgent,the rebel,hypernym
other,u.s.,independent
organisation,state,hypernym
a child,baby is,hypernym
panel,work,independent
company,court,independent
secretary,state,other-related
develop,process,other-related
convention,council,independent
expect to,up to,independent
dollar,the company,independent
dog,little girl,independent
chancellor gerhard schroeder,schroeder,hyponym
crowd,person,other-related
agency,nuclear,independent
arrive,lost,independent
man,river,independent
have receive,was,independent
home,return,other-related
oil and gas,petroleum,synonym
even if,was,independent
first,name,independent
in front of,next to,other-related
beginning,institute,independent
's day,"day ,",hyponym
find a,identify a,synonym
take,title,independent
bush,bush 's,hypernym
man,other people,hyponym
mean,measure to,independent
fill in,to replace,synonym
be based,is located,synonym
two young,young man,hypernym
statue,statute,independent
's capital,capital of,synonym
east,palestinian,independent
have,positive,independent
german,schroeder,hypernym
family,mother,hypernym
basket,game,other-related
soldier,the u.s. military,hyponym
earnings,income,synonym
review the,to consider,synonym
announce,perform,independent
bomber,suicide,other-related
global,people,independent
jump,looking,independent
big,huge,synonym
brazilian,national,hyponym
guidance,send,independent
child,young child,hypernym
light,look,independent
"however ,",other than,independent
numerous,serious,independent
is very,play a,independent
old,the man,alternation
full,lot,other-related
game,hand,independent
hold,number,independent
part,party,independent
is being,is holding,independent
army,camp,independent
civilian,have,independent
depend,stemming,independent
former prime minister,the former prime,hyponym
atlantic treaty,"pact ,",hyponym
earth ;,world .,hyponym
military,recent,independent
background,fully,independent
measure,requirement,hypernym
drug,possession,other-related
beach,the water,other-related
department,have,independent
comprises,is,synonym
argentina,argentina 's,synonym
are doing,is playing,independent
literary,man,independent
end,state,independent
city,game,independent
atlantic,company,independent
is the,the follow,other-related
bomb,death,other-related
's history,history,hyponym
bunch,wood,independent
action,file,independent
's social,the social,hyponym
render,return,independent
small,young,other-related
european,the european union,hypernym
a gaza,gaza strip,hypernym
operate,use,synonym
old,service,independent
"boy ,",child,hyponym
capital,center,hyponym
return,return home,hypernym
the control of,to combat,other-related
interest,make,independent
council,election,other-related
firm,industry,hyponym
popular,use,independent
clean water,water,hyponym
fully,only,independent
official,policeman,hypernym
commission,january,independent
problem,trouble,hyponym
is doing,perform by,other-related
say,say thursday,hypernym
atlantic,marine,other-related
hand,receive,alternation
lunar,month,independent
geneva,paris,alternation
the result,then,independent
display,have,independent
fun,swing,other-related
commission,course,independent
due to,to return to,independent
shirt,top,independent
court,have,independent
equal,very,independent
state,the eu,hyponym
man,store,independent
mother,the mother,synonym
asian,economic,independent
international,member,independent
nuclear,threat,other-related
mind,service,independent
social,united,independent
difficulty,dog,other-related
look at,watch,synonym
bird,flight,other-related
parts,towards,independent
boy,park,independent
like,person,independent
effect,hit,independent
city,mexico,other-related
", china 's",china .,hyponym
was killed in,was shot,hypernym
director of the,executive director,hypernym
"boy ,",little boy,hypernym
european,republic,independent
add,gain,synonym
say,talk,synonym
enough to,take to,independent
art,cultural,other-related
hit,stood,independent
"mandela ,",nelson mandela,hypernym
have,target,independent
alive,lose,independent
the edge,the face,independent
commission,democracy,independent
been,charge,independent
bid,say,independent
business,production,other-related
european,third,independent
city,water,independent
order to,to be the,independent
baby,toy,other-related
organization,trade,other-related
minister in,prime minister,hypernym
bicycle,trail,other-related
general,medium,independent
history .,of life .,independent
crude oil,oil,hyponym
little,little girl,hypernym
", is",gram of,independent
a group,bunch of,synonym
early,part,independent
street,the street,synonym
slide,top,independent
corporation,scheme,other-related
last,the past,independent
the country 's,ukraine 's,hypernym
dead,follow,independent
india,kashmir,hypernym
hockey,play,hyponym
new zealand,spain,alternation
layer is,ozone layer,hypernym
kick,punch,alternation
", are",", is n't",antonym
activity,trade,hypernym
hard,paper,independent
iraq,u.n.,hyponym
last,open,independent
lot,not,independent
conference,host,independent
company,income,other-related
a man,someone,hyponym
area,grass,hypernym
eligible,vote,independent
headquarters,leaders,independent
bulgaria,commission,independent
different,each other,independent
become,build,independent
first,near,independent
disaster,humanitarian,other-related
other,other child,hypernym
pour,put,hyponym
designate,mount,independent
a man,the person,hyponym
arafat,israeli,alternation
economy,risk,independent
partnership,technology,independent
construction,need,independent
hands,his arms,other-related
election,the campaign,hypernym
card,fun,independent
encourage,make,independent
the border,united state,other-related
recover,salvage,synonym
india and pakistan,pakistan,hypernym
football,play,other-related
hold,thursday,independent
development,world,other-related
now,years,alternation
beat,wear,independent
look,the air,independent
early,new,independent
president,representative,other-related
oppose,were,independent
industrial,new,independent
lady in,young lady,hypernym
book,literary,hyponym
a gold,a golden,synonym
are,are suffering,hypernym
beginning,second,alternation
argue,consider,other-related
such,use,independent
lift,pull,other-related
a young,"boy ,",hypernym
google,valley,independent
have,red,independent
bosnia,force,independent
block,sledgehammer,independent
a change,new,other-related
the western,the western european,hypernym
annan 's,kofi annan,hypernym
rate,rates were,other-related
assassination of,were killed,hyponym
container,sink,hypernym
measure,works,independent
case of,this is,independent
", bush",president bush,hypernym
building,camera,independent
arrangement,stand,independent
secretary,spanish,independent
bowl,break,independent
start of,the first,hypernym
man,shop,independent
minister,organization,other-related
cast,provide,independent
hurt,were,independent
been,won,independent
house,parliament,other-related
patrol,soldier,other-related
army,military,hyponym
new year,new year 's,synonym
leaders,new,independent
dance,song,other-related
organization,take,independent
football,the ball,hyponym
accord,monitoring,independent
the first,the original,synonym
door,n't,independent
agency,include,independent
atmosphere,look,independent
agency,permission,independent
each other,kid,independent
man is,the man 's,synonym
helicopter,military,other-related
competition,olympic,hypernym
people,social,other-related
not,still,independent
was,whole,independent
group,security,independent
growth,world,independent
bike,wheel,alternation
two little,two small,synonym
come,race,independent
common,widespread,synonym
reagan,regan,independent
employ,use,independent
at once,from the start,independent
front of,side of,alternation
african,national,other-related
were injured,were seriously,other-related
jump,leap,synonym
bring,wear,independent
hit by,target of,hyponym
sand,sun,other-related
table,wire,independent
other,other people,hypernym
collect,receive,synonym
animal,the water,independent
environment,natural,other-related
the last,this year,independent
identify,include,independent
have been observed,there was,independent
terrorism,war,other-related
measure to,requirement for,other-related
boy,two boy,hypernym
a seat,the ground,independent
pollution .,the environment .,other-related
the attack,the bomb,hypernym
canadian,united,independent
have,place,independent
hostage,people,hyponym
the computer,the laptop,hypernym
cards,stick,independent
consists,is,independent
radio say,the radio,hypernym
project,the construction,hypernym
he was,say that the,independent
a sign,big,independent
ball,par,independent
indian,pacific,independent
is holding,is putting,alternation
israeli army,the idf,synonym
cancer,cell,other-related
sentence,sentencing,synonym
future,unite,independent
air,an area,independent
's presidential election,"presidential election ,",synonym
home,living,independent
corporation,developer,other-related
flight,plan,other-related
minister,most,independent
activity,international,independent
from asia,of asian,hyponym
black,gray,alternation
director,services,independent
viktor yanukovich,viktor yanukovych,synonym
high representative,representative for,hyponym
activity,issue,independent
baghdad,iraq,hyponym
travel costs,trip,other-related
affect,focus,independent
one man,the man,synonym
parts of,to area,independent
compete,competition,hyponym
join,was,independent
expect to,to make,independent
done,ground,independent
fill,replace,other-related
earnings of,income of,synonym
's social democrat,social democrat,synonym
say,will be,independent
guy,land,independent
indian ocean,the indian,hyponym
order,world,independent
direction,look,independent
europe,union,other-related
home,house,synonym
a young,the little,other-related
a kid,a teenager,hypernym
killing,was killed,other-related
american,dollar,other-related
declare,official,independent
order to,to meet,independent
young,young woman,hypernym
member state,of country,other-related
election,september,other-related
counter,piece,independent
aircraft,pilot,other-related
art,history,other-related
important,power,hypernym
away,parts,independent
iran,president,independent
a note,write,other-related
a result,benefit,other-related
", include","people ,",independent
lao,laos,synonym
fish,ocean,other-related
beat,score,other-related
push,take,independent
cat 's,cat is,synonym
representative,role,independent
city of basra,southern city,hyponym
pass,record,independent
a middle,middle eastern,hypernym
party,unite,independent
woman 's,woman is,synonym
age,make,independent
in the ocean,in the water,hypernym
stare,watch,hyponym
front,map,independent
is running,to run,other-related
baby,little,independent
requirement,the environment,independent
a bicycle,riding,other-related
follow,give,independent
can,man,independent
"new year ,",year,hyponym
speak,speaker,other-related
finish,last,synonym
doll,toy,hyponym
guide,path,hyponym
brief,statement,other-related
america,the unite,other-related
do,measure,independent
the unite state,unite nation,other-related
construction,development,synonym
"years ,",years ago,hypernym
form,introduce,independent
course,game,independent
dalai,tibet,other-related
perform,wear,independent
few,horse,independent
appearance of,there was an,independent
death,loss of life,synonym
pollution,source,independent
last year in,year in,hyponym
"game ,",olympic game,hypernym
discover,was,independent
india,pakistan,other-related
former,war,independent
help,live,independent
california,state,hyponym
board,plane,other-related
democratic,seats,independent
attack,play,independent
secretary,visit,independent
come,is going,antonym
is,stay,independent
more,strong,independent
air,army,independent
associate,cause,independent
loss of,people lose,hypernym
eu,euro,hypernym
film .,motion picture,hypernym
humans,life,hyponym
are,plan to,independent
sit,writing,independent
el,water,independent
girl,night,independent
fighting,ring,independent
appear,do,independent
force,movement,independent
been,occur,antonym
fireplace,mantel,other-related
a boy,young,other-related
a suicide bomber,bomb,hyponym
majority,survey,independent
chief,the leader,synonym
open of,top of,independent
be,be possible,independent
good,super,synonym
center,federal,independent
francisco,san,other-related
been,convict,independent
accord,survey,independent
germany,germany 's,other-related
are,really,independent
see,was,independent
out,table,independent
economy,the world,other-related
jackson,michael jackson,hypernym
president of the,the head of,hyponym
air,midair,hypernym
monday,palestinian,independent
help,relieve,hypernym
relate,sister,independent
pakistan,state,hyponym
being,witness,independent
conference,event,hyponym
return to,to come,antonym
kill on,was murdered,hypernym
is no,people are,independent
intake of,level of,independent
u.s. soldier,us troops,hyponym
alliance,unite,synonym
east jerusalem,"jerusalem ,",hyponym
play an,play by,independent
movement,time,independent
chief,staff,independent
build,divert,independent
occur,target,independent
bosnia,bosnia-herzegovina,hypernym
agreement,government,independent
is spinning,run,independent
police,take,independent
germany,iran,other-related
out,part of,independent
america 's,the unite state,hypernym
case,suit,independent
collective,union,synonym
the war,win,other-related
involve,local,independent
arafat,leader,hyponym
lie,look at,independent
make,woman,independent
council,report,other-related
boy 's,child is,hyponym
export,was,independent
global,health,independent
fight,sit,independent
blue,suit,independent
deter,stop,synonym
speak,talk to,synonym
a.m.,department,independent
convention,have,independent
give,state,independent
"committee ,",the committee 's,synonym
employee,team,hyponym
a few days,just,hyponym
group,league,hypernym
cut,piece,other-related
country,international community,other-related
civilian,other civilian,other-related
political,territorial,other-related
document,national,independent
jim,say,independent
have,take,independent
of iran,of iran 's,synonym
the side,the top,alternation
of peace,to push,independent
accept,expect,independent
's christian,the christian,hyponym
court to,supreme court,hypernym
little,the small,synonym
"a share ,","per share ,",synonym
away from,out of,other-related
lady,up,independent
island,these island,hypernym
is the,regard as,independent
security,the same,independent
plan to,will take,independent
prince,wales,other-related
language,many,independent
department of,of state,other-related
month,mother,independent
do,walk,hypernym
on the top,up,other-related
a unite nation,the unite,other-related
deliver,handle,other-related
girl,one woman,other-related
new job,unemployment,antonym
he was,say that,independent
a suicide,a suicide bomb,hypernym
of southeast,of southeast asian,hypernym
earnings,stocks,hypernym
police,troops,independent
break,side,independent
command center,command centre,synonym
general,state,independent
city,people,other-related
is held,meeting,independent
drop,rise,antonym
guatemala,mexico,alternation
israel,margin,independent
possible,unite,independent
pole,post,synonym
to consider,to review,synonym
monetary,stability,independent
fly,jet,other-related
a group,together,hyponym
to death,was killed,other-related
a statement,iraq,independent
last autumn,last fall,synonym
force,people,independent
back,domestic,alternation
go,service,independent
city,kong,hypernym
bed,stand,independent
to help,to provide,synonym
christopher hill,hill,hyponym
britain,eu,hyponym
people are,there is,independent
stay in,time spent in,synonym
people,team,hypernym
call,period,independent
are,walk,independent
reform,revolutionary,hypernym
over,past,independent
ride,seat,other-related
authority,the state,other-related
husband,marry to,other-related
eastern part,was,independent
piece,slice,hyponym
people were,was killed,independent
cat,not,independent
underwater,water,hyponym
leader,national,hypernym
military,the u.s. military,hypernym
growth,report,independent
france,security,independent
mention,say,synonym
is a member,member of,synonym
are,eat,independent
award,the year,independent
hundred of,million of,alternation
not be,to stop,independent
hold,send,independent
european,have,independent
drug,research,hyponym
eu,romania,hypernym
palestinian,peace,independent
past,program,independent
woman in,young woman,hypernym
possible,white,independent
top,woman,independent
is buying,purchase,synonym
is close,is near,synonym
government,ratio,independent
camera,photograph,other-related
month,mr.,independent
convention,say,independent
have,identify,independent
occur,was located,independent
discovery,prize,other-related
room,state,independent
bicycle,riding,other-related
play,walk,independent
interest,interest rates,other-related
meeting,representative,independent
keep,sit,independent
guitar,guitarist,other-related
man,say,independent
general,presidential,other-related
greek,official,independent
act,german,independent
officer,soldier,hyponym
succeeds .,success .,synonym
first,parts,independent
health,reserve,independent
leader,man,hyponym
return,up,independent
business with,deal with,independent
look,play,independent
home,year,independent
activity,network,independent
bridge,cross,other-related
is doing,is putting,hypernym
remote area,remote region,synonym
develop,take,independent
gas,oil,hyponym
board,hand,independent
be,trade,independent
improvement,rate,independent
research,scientist,other-related
the ocean,the shore,hypernym
have,make,independent
belong,serve,independent
fish,fishing,other-related
department,return,independent
hiv,infect,other-related
a web,internet,hypernym
member,woman,hypernym
be,stay,independent
law,motion,other-related
say,say something,hypernym
the man,the woman,antonym
friend,people,hyponym
cost,spending,other-related
are,treat,independent
the air,wind,hypernym
give,is,independent
new,plan,other-related
day,on monday,hypernym
environment,integration,independent
man,out,independent
a young lady,girl,hyponym
cluster,gather,synonym
murder of,was killed,other-related
together,use,independent
oil refinery,refinery,hyponym
hold,open,independent
member,terrorist,independent
seismic,volcanic,hypernym
a concert,a show,hyponym
hold,school,independent
comment,were,independent
january,month,hyponym
are trained,to train,other-related
government,minister,independent
bale,ball,independent
a motorcycle,bicycle,hyponym
are trained,training,other-related
indian,new,independent
north,organization,independent
effort to,in order,independent
have,include,synonym
joint,south,independent
the federal,the law,other-related
act,action,hypernym
country,new,independent
leader,opposition,antonym
blair,last,independent
young,young man,hypernym
development,force,independent
oil,spill,alternation
corps,target,independent
project is,the propose,independent
power,say,independent
final,saturday,independent
news,say,independent
february,year,hyponym
to consider the,to review the,hypernym
a second,again,independent
following,more,independent
athens,the olympics,hyponym
film,filmmaker,hypernym
research,such,independent
disaster,reduce,independent
a boat,sail,alternation
close,least,independent
bush,the bush administration,hypernym
", which is",person is,independent
person,several person,hyponym
group of,small group of,hypernym
capital,war,independent
egg,the eggs,synonym
underwent,was,independent
the bank have,world bank,independent
economic,united,independent
people,rise,independent
eu,propose,independent
house,legal,independent
a crowd,a group,synonym
adopt,measure,independent
chief,leader,hyponym
an old,old man,hypernym
arresting,to stop,independent
girl is,person is,hypernym
meet,play,hypernym
person,piece,independent
age,life,other-related
software,the internet,other-related
are facing,are in,alternation
environment,requirement,independent
shoot to,was killed,other-related
that is,the man is,independent
natural,population,independent
play,reflect,independent
gentleman,lord,other-related
economic,property,independent
dead,just,independent
measure,prevent,independent
are sitting,is,independent
man and,persons are,hyponym
say it,to be,independent
goal,goalkeeper,hypernym
iraqi,saddam,other-related
other,the following,independent
is on a,off a,antonym
share,subject,independent
assistant,state,independent
being held,is celebrating,independent
man,the sex,hyponym
bed,ground,independent
industry,price,independent
economic,environment,other-related
accept,was,independent
", swedish",sweden is,hyponym
high,large,alternation
administration,the government,hypernym
plan,then,independent
chechen,russia,independent
datum,image,independent
government,uk,other-related
shoot,window,independent
israel 's,israel have,other-related
gain in,up,independent
meet,to be,independent
is looking,look at,hyponym
chief,committee,other-related
have fun,play,hypernym
authorities,people,hyponym
delegation,was,independent
produce by,product,other-related
about,human,independent
pollutant,pollution,other-related
beer,bottle,other-related
's day,day of,synonym
iraqi police,police station,hyponym
field,group,independent
economic,federal,hyponym
a man,one,hyponym
chinese,trip,independent
official,the head,hypernym
community,the government,independent
consider,was,independent
home .,room .,hypernym
girl,puppy,independent
open,set,independent
a child,a little,other-related
have,receive,alternation
constitution,iraq,independent
equipment,works,other-related
man,war,independent
commission,world,independent
travel,year,independent
eu,more,independent
jihad,movement,hyponym
the government,the government take,other-related
launch,space,other-related
run,up,independent
camp,were,independent
activity,result,other-related
play,player,other-related
is to,provides the,independent
france,interview,independent
community,measure,independent
entrust,locate,independent
competition,the race,synonym
who have,who lost,antonym
found,were,independent
"""",year,independent
kill in,life in,antonym
illness,treatment,other-related
expect,leave,independent
being,push,independent
is going to,is scheduled,hypernym
court,run,independent
measure to,"policy ,",independent
are,travel,independent
open,tour,independent
in front,is taking,independent
the female,woman,hypernym
"administration ,",bush administration,hypernym
cause,history,independent
good,home,independent
amount,show,independent
can be,enough to,independent
are in,in front of,independent
little child,small child,synonym
george w.,w. bush,other-related
man,up,independent
area,subject,independent
nation,unite,other-related
"delegation ,",representative of,alternation
run out of,with more than,independent
have,parliament,independent
's,is,synonym
earthquake,shore,independent
ukraine,vote,independent
coast,west,other-related
department of state,"state ,",hyponym
commander,head,hyponym
case,infection,hypernym
bush,first,independent
night,year,independent
claim,win,other-related
away .,line .,independent
", north",north korea,hypernym
not,person,independent
bathe,water,other-related
a european,of eu,hypernym
little,young,other-related
ban,not,other-related
group,small group,hypernym
air,plant,other-related
quarter,the fourth,independent
measure,work,independent
are,fight,independent
grant an,grant by,other-related
measure,more,other-related
cause,dump,independent
mud,muddy,synonym
atmosphere,past,independent
drug,drug abuse,hyponym
person,person 's,other-related
judicial,police,other-related
evacuate,evacuation,synonym
is taking,put into,antonym
lead,race,independent
a person,one man,synonym
hill,top,other-related
but still,but were,independent
impact,pollution,independent
air,sun,independent
dark,table,independent
book,game,independent
sea,territorial waters,hypernym
run,watch,independent
open,short,independent
bank,target,independent
century .,develop .,independent
", such",there is,independent
after being,was,other-related
strength,strong,synonym
saturday,say,independent
pool,swim,other-related
boy in,little boy,hypernym
agency,vienna,independent
swim,swimmer,other-related
was considered,was one,independent
olympic game .,the olympic,hyponym
is playing,listen to,other-related
cancer,study,independent
act,perform,synonym
hold,shirt,independent
are in,locate in the,independent
birth rate,fertility,other-related
the u.n.,unite,other-related
up to,"years ,",independent
's performance,performance was,hyponym
make,stay,independent
embarrass,take,independent
islamic,state,hyponym
cancel,pay,independent
is,wait for,independent
of people,persons are,other-related
jerusalem,the west,other-related
commissioner 's,the commissioner,hyponym
ground,gun,independent
police officer who,police who,synonym
have,meet,independent
for the protection,protect the,other-related
business practice,practices were,hyponym
economic,kingdom,independent
is attempting,try to,synonym
measure,practice,independent
halt,to stop,synonym
game,play game,other-related
costs,have,independent
color,look,independent
something,writing,independent
party,spain,independent
a cow,cattle,hyponym
attempt,carry,independent
discover,observe,independent
member,world,independent
hiv,joint,independent
hold a,it have the,other-related
it activity,their role,other-related
a baby,a child,hyponym
israel,state,hypernym
democratic,vote,other-related
european union,of europe,hyponym
international,system,independent
train,use,independent
km,locate,independent
decide,place,independent
is doing,is holding,other-related
life in,were killed,other-related
embargo,iraq,other-related
appeal,high,independent
huge,open,independent
people 's,the people,other-related
council,organisation,other-related
lovely,woman,other-related
africa,trade,independent
green,small,independent
detain,national,independent
a little girl,small,other-related
need,push,independent
corner,the corner,synonym
effort,un,independent
bathe,swimming,hypernym
fire,rifle,other-related
the western,western european union,hypernym
a picture,the face,independent
open,stand,independent
friday .,the day .,hyponym
warn,warning,synonym
east,west,antonym
israel,peace talks,independent
mount,rise,independent
attack,israel,independent
educational,school,other-related
the road,vehicle,other-related
attack,place,independent
landslide,victory,other-related
equipment,software,hypernym
%,% higher,hypernym
air,war,other-related
have a,just have,hypernym
blast,kill,other-related
care,health care,hypernym
""" was","'s """,independent
is the,the unite,independent
girl,the other,hyponym
woman who,woman with,synonym
contain,to be,independent
election,people,independent
game,toy,other-related
attack,israeli,independent
iraq,visit,independent
atomic energy,atomic energy agency,hypernym
qualifies for,to qualify for,synonym
campus,field,hypernym
a sheet,paper,hypernym
down,man,independent
away,front,independent
group,team,hypernym
early,prime,independent
december,first,other-related
dangle,hang,synonym
active,exercise,other-related
u.s. military,u.s. soldier,hypernym
democratic,salvador,other-related
building,palace,hyponym
party,union,independent
kill in,people in,independent
lose,out,independent
iraq,troop,other-related
protecting the,the conservation of,synonym
blue jean,jean,hyponym
is using,use,other-related
bird flu,flu,hyponym
fly,plane,other-related
attack,blast,hypernym
is the,unite state,independent
dollar,win,independent
ball,mitt,other-related
notebook,pc,hyponym
ariel,minister,independent
automobile,the automobile industry,hypernym
produce,use,independent
birth,rate,other-related
a woman is,women are,synonym
child in,the kid,synonym
democratic,domestic,independent
network,system,synonym
small,the young,other-related
baby,not,independent
drunk,water,independent
girl,pony,independent
official,past,independent
comment,office,independent
legal,territorial,independent
request,state,independent
floor,the ground,synonym
citizen,personnel,alternation
pair,show,independent
st.,the san,independent
poll,sunday,independent
man,two man,hyponym
consider,review,synonym
company,player,independent
is,situation,independent
old people,people,hyponym
"pool ,",swimming pool,hypernym
state,union,other-related
has been,occur,antonym
and take,is taking,hyponym
a snake,snake,synonym
application,computer,other-related
been killed,death toll of,other-related
are,empty,independent
aid,relief effort,hypernym
an emergency,the crash,hypernym
child in,kid in,synonym
in order to,is a,independent
the olympic,the olympic game,hypernym
a piece,an object,independent
female,girl,hypernym
death toll,kill,other-related
man,years,other-related
the air,the wind,hypernym
a car,train,alternation
comment,view,other-related
race,something,independent
world,world 's,hypernym
chef,man,hyponym
is small,kid,hyponym
al,los,independent
a female,"a woman ,",hypernym
country,north,hyponym
looking,the air,independent
athlete,olympic,other-related
nation,u.n.,antonym
think,up,independent
%,oil,hyponym
attack,cargo,independent
away,out,synonym
be,further,independent
news,weather,hypernym
honor,prize,hypernym
cap,mouth,independent
east,israel,hypernym
hold,russia,independent
agree,sensitive,independent
nuclear,nuclear disarmament,hypernym
former,past,synonym
case,issue,independent
blew up,bomb explode,hypernym
over,take,other-related
department,team,hypernym
england,france,alternation
bay,stop,independent
jump,pass,independent
general,program,independent
people,plant,independent
say,wednesday,independent
march,problem,independent
die,were killed,hypernym
do,hold,hypernym
july,september,alternation
continue,party,independent
france,mr.,independent
service,works,other-related
health care,their health,other-related
abbas,mr. abbas,hypernym
campaign,run,other-related
council,works,independent
staff,works,independent
commission,report,independent
gain,very,independent
combat terrorism,of terrorism,hyponym
face,raise,independent
are,number,independent
arm,farc,independent
the murder,were murdered,hypernym
member state,state of the,other-related
office,term,other-related
bank,european,independent
sand,shore,other-related
bike,road,other-related
official say,"wound ,",independent
splash,water,other-related
return,say,independent
live with hiv,people live with,independent
shore,water,other-related
bush,george w. bush,hypernym
call,parliament,independent
percent,up,independent
study was,was,hyponym
edge,stand,independent
live in,there are,independent
front,national,independent
handle,start,independent
atlantic,nato,independent
care,health,other-related
growth,the economy,other-related
air,water,independent
russian,state,other-related
front of,towards the,alternation
bank,introduction,independent
hair,show,independent
david,mr.,hyponym
humanitarian,international,independent
deal,stock,independent
child is,little girl,hypernym
organization,terrorist,hypernym
world,year,independent
fall,fell,synonym
office,official,other-related
technology,weapon,other-related
people,the people 's,synonym
man,were,independent
prime minister,the palestinian,independent
", face",front of,hyponym
last two,over the past,hyponym
snow,water,other-related
israeli,israelis,hyponym
foreign,russia,other-related
the wave,wave,synonym
are making,are on,independent
conduct,were,independent
de,independent,independent
technology,virtual,other-related
major,world,independent
government .,minister .,independent
kid,some child,hypernym
artificial,human,alternation
assistant secretary of,secretary of,hyponym
ago,not,independent
instance,loss,hyponym
is,measure,independent
carry,move,synonym
u.s.,u.s. military,hypernym
juice,orange,other-related
sunshine,the sun,hyponym
car bomb,the car,other-related
space,stay,independent
boy,teens,hypernym
disease,protein,independent
the unite,unite state,other-related
weather,winter,other-related
more,reach,independent
discover,think,other-related
hands,up,independent
fall,off,independent
girl,small,independent
front of,house in,independent
law,president,other-related
've,is,independent
agency,measure,independent
hit,output,independent
liberation,national liberation,hypernym
pedestrian,street,other-related
effect,life,independent
agenda of,aim of,hyponym
big,little,antonym
nobel prize,peace prize,hyponym
ground,post,independent
the young,young man,hypernym
finish,round,independent
diego,san diego,independent
european union,of the european,hyponym
prepare,say,independent
eastern,indian,other-related
hand,market,independent
say the,say wednesday,hypernym
baghdad,the iraqi capital,synonym
